"Sample","Depth","Group"
"RA2114",10000,"RA"
"RA2116",10000,"RA"
"RA2119",10000,"RA"
"RA2123",10000,"RA"
"RA2125",10000,"RA"
"RA2127",10000,"RA"
"RA2128",10000,"RA"
"RA2132",10000,"RA"
"RA2133",10000,"RA"
"RA2136",10000,"RA"
"RA2139",10000,"RA"
"RA2141",10000,"RA"
"RA2143",10000,"RA"
"RA2148",10000,"RA"
"RA2154",10000,"RA"
"RA2158",10000,"RA"
"RA2161",10000,"RA"
"RA2164",10000,"RA"
"RA2165",10000,"RA"
"RA2166",10000,"RA"
"RA3001",10000,"RA"
"RA3005",10000,"RA"
"RA3013",10000,"RA"
"RA3014",10000,"RA"
"RA3018",10000,"RA"
"RA3019",10000,"RA"
"RA3021",10000,"RA"
"RA3022",10000,"RA"
"RA3023",10000,"RA"
"RA3025",10000,"RA"
"RA3026",10000,"RA"
"RA3030",10000,"RA"
"RA3035",10000,"RA"
"RA3036",10000,"RA"
"RA3041",10000,"RA"
"RA3043",10000,"RA"
"RA3044",10000,"RA"
"RA3045",10000,"RA"
"RA3046",10000,"RA"
"RA3048",10000,"RA"
"RA3049",10000,"RA"
"RA3055",10000,"RA"
"RA3056",10000,"RA"
"RA3061",10000,"RA"
"RA3062",10000,"RA"
"RA3065",10000,"RA"
"RA3067",10000,"RA"
"RA3068",10000,"RA"
"RA3070",10000,"RA"
"RA3071",10000,"RA"
"RA3072",10000,"RA"
"RA3074",10000,"RA"
"RA3075",10000,"RA"
"RA3076",10000,"RA"
"RA3081",10000,"RA"
"RA3089",10000,"RA"
"RA3091",10000,"RA"
"RA3096",10000,"RA"
"RA3097",10000,"RA"
"RA3099",10000,"RA"
"RA3102",10000,"RA"
"RA3106",10000,"RA"
"RA3108",10000,"RA"
"RA3115",10000,"RA"
"RA3118",10000,"RA"
"RA3122",10000,"RA"
"RA3125",10000,"RA"
"RA3126",10000,"RA"
"RA3130",10000,"RA"
"RA3132",10000,"RA"
"RA3135",10000,"RA"
"RA3138",10000,"RA"
"RA3139",10000,"RA"
"RA3140",10000,"RA"
"RA3142",10000,"RA"
"RA3145",10000,"RA"
"RA3146",10000,"RA"
"RA3150",10000,"RA"
"RA3151",10000,"RA"
"RA3154",10000,"RA"
"RA3155",10000,"RA"
"RA3161",10000,"RA"
"RA3162",10000,"RA"
"RA3163",10000,"RA"
"RA3164",10000,"RA"
"RA3167",10000,"RA"
"RA3169",10000,"RA"
"RA3171",10000,"RA"
"RA3175",10000,"RA"
"RA3184",10000,"RA"
"RA3185",10000,"RA"
"RA3188",10000,"RA"
"RA3190",10000,"RA"
"RA3191",10000,"RA"
"RA3194",10000,"RA"
"RA3200",10000,"RA"
"RA3202",10000,"RA"
"RA3204",10000,"RA"
"RA3212",10000,"RA"
"RA3219",10000,"RA"
"RA3222",10000,"RA"
"RA3228",10000,"RA"
"RA3232",10000,"RA"
"RA3233",10000,"RA"
"RA3236",10000,"RA"
"RA3240",10000,"RA"
"RA3242",10000,"RA"
"RA3243",10000,"RA"
"RA3245",10000,"RA"
"RA3249",10000,"RA"
"RA3250",10000,"RA"
"RA40000",10000,"RA"
"RA40011",10000,"RA"
"RA40012",10000,"RA"
"RA40013",10000,"RA"
"RA40014",10000,"RA"
"RA40015",10000,"RA"
"RA40016",10000,"RA"
"RA40017",10000,"RA"
"RA40018",10000,"RA"
"RA40019",10000,"RA"
"RA40020",10000,"RA"
"RA40021",10000,"RA"
"RA40022",10000,"RA"
"RA40023",10000,"RA"
"RA40024",10000,"RA"
"RA40025",10000,"RA"
"RA40026",10000,"RA"
"RA40027",10000,"RA"
"RA40028",10000,"RA"
"RA40029",10000,"RA"
"RA40030",10000,"RA"
"RA40031",10000,"RA"
"RA40032",10000,"RA"
"RA40033",10000,"RA"
"RA40034",10000,"RA"
"RA40035",10000,"RA"
"RA40036",10000,"RA"
"RA40037",10000,"RA"
"RA40038",10000,"RA"
"RA40039",10000,"RA"
"RA40040",10000,"RA"
"RA40047",10000,"RA"
"RA40048",10000,"RA"
"RA40049",10000,"RA"
"RA40050",10000,"RA"
"RA40051",10000,"RA"
"RA40052",10000,"RA"
"RA40053",10000,"RA"
"RA40054",10000,"RA"
"RA40055",10000,"RA"
"RA40056",10000,"RA"
"RA40057",10000,"RA"
"RA40058",10000,"RA"
"RA40059",10000,"RA"
"RA40060",10000,"RA"
"RA40061",10000,"RA"
"RA40062",10000,"RA"
"RA40063",10000,"RA"
"RA40064",10000,"RA"
"RA40065",10000,"RA"
"RA40066",10000,"RA"
"RA40067",10000,"RA"
"RA40070",10000,"RA"
"RA40071",10000,"RA"
"RA40072",10000,"RA"
"RA40073",10000,"RA"
"RA40074",10000,"RA"
"RA40075",10000,"RA"
"RA40076",10000,"RA"
"RA40077",10000,"RA"
"RA40078",10000,"RA"
"RA40079",10000,"RA"
"RA40080",10000,"RA"
"RA40081",10000,"RA"
"RA40082",10000,"RA"
"RA6001",10000,"RA"
"RA6002",10000,"RA"
"RA6003",10000,"RA"
"RA6004",10000,"RA"
"RA6005",10000,"RA"
"RA6006",10000,"RA"
"RA6007",10000,"RA"
"RA6008",10000,"RA"
"RA6009",10000,"RA"
"RA6010",10000,"RA"
"RA6012",10000,"RA"
"RA6013",10000,"RA"
"RA6014",10000,"RA"
"RA6015",10000,"RA"
"RA6016",10000,"RA"
"RA6017",10000,"RA"
"RA6018",10000,"RA"
"RA6019",10000,"RA"
"RA6020",10000,"RA"
"RA6021",10000,"RA"
"RA6022",10000,"RA"
"RA6024",10000,"RA"
"RA6025",10000,"RA"
"RA6026",10000,"RA"
"RA6027",10000,"RA"
"RA6028",10000,"RA"
"RA6030",10000,"RA"
"RA6031",10000,"RA"
"RA6032",10000,"RA"
"RA6033",10000,"RA"
"RA6034",10000,"RA"
"RA6035",10000,"RA"
"RA6036",10000,"RA"
"RA6037",10000,"RA"
"RA6038",10000,"RA"
"RA6039",10000,"RA"
"RA6040",10000,"RA"
"RA6041",10000,"RA"
"RA6042",10000,"RA"
"RA6043",10000,"RA"
"RA6044",10000,"RA"
"RA6045",10000,"RA"
"RA6046",10000,"RA"
"RA6047",10000,"RA"
"RA6048",10000,"RA"
"RA6049",10000,"RA"
"RA6050",10000,"RA"
"RA7001",10000,"RA"
"RA7002",10000,"RA"
"RA7003",10000,"RA"
"RA7004",10000,"RA"
"RA7005",10000,"RA"
"RA7006",10000,"RA"
"RA7007",10000,"RA"
"RA7008",10000,"RA"
"RA7009",10000,"RA"
"RA7010",10000,"RA"
"RA7011",10000,"RA"
"RA7012",10000,"RA"
"RA7013",10000,"RA"
"RA7014",10000,"RA"
"RA7015",10000,"RA"
"RA7016",10000,"RA"
"RA7017",10000,"RA"
"RA7018",10000,"RA"
"RA7019",10000,"RA"
"RA7020",10000,"RA"
