"Sample","Depth","Group"
"HC0877",10000,"HC"
"HC0878",10000,"HC"
"HC0879",10000,"HC"
"HC0880",10000,"HC"
"HC0881",10000,"HC"
"HC0882",10000,"HC"
"HC0883",10000,"HC"
"HC0884",10000,"HC"
"HC0885",10000,"HC"
"HC0886",10000,"HC"
"HC0887",10000,"HC"
"HC0888",10000,"HC"
"HC0889",10000,"HC"
"HC0890",10000,"HC"
"HC0891",10000,"HC"
"HC0892",10000,"HC"
"HC0893",10000,"HC"
"HC0894",10000,"HC"
"HC0895",10000,"HC"
"HC0896",10000,"HC"
"HC0897",10000,"HC"
"HC0898",10000,"HC"
"HC0899",10000,"HC"
"HC0900",10000,"HC"
"HC0901",10000,"HC"
"HC0902",10000,"HC"
"HC0904",10000,"HC"
"HC0905",10000,"HC"
"HC0906",10000,"HC"
"HC0907",10000,"HC"
"HC0908",10000,"HC"
"HC0909",10000,"HC"
"HC0910",10000,"HC"
"HC0911",10000,"HC"
"HC0912",10000,"HC"
"HC0913",10000,"HC"
"HC0914",10000,"HC"
"HC0915",10000,"HC"
"HC0916",10000,"HC"
"HC0917",10000,"HC"
"HC0918",10000,"HC"
"HC0919",10000,"HC"
"HC0920",10000,"HC"
"HC0921",10000,"HC"
"HC0922",10000,"HC"
"HC0923",10000,"HC"
"HC0924",10000,"HC"
"HC0925",10000,"HC"
"HC0926",10000,"HC"
"HC0928",10000,"HC"
"HC0929",10000,"HC"
"HC0930",10000,"HC"
"HC0931",10000,"HC"
"HC0932",10000,"HC"
"HC0933",10000,"HC"
"HC0934",10000,"HC"
"HC0935",10000,"HC"
"HC0936",10000,"HC"
"HC0937",10000,"HC"
"HC0938",10000,"HC"
"HC0939",10000,"HC"
"HC0940",10000,"HC"
"HC0941",10000,"HC"
"HC0942",10000,"HC"
"HC0943",10000,"HC"
"HC0944",10000,"HC"
"HC0945",10000,"HC"
"HC0946",10000,"HC"
"HC0947",10000,"HC"
"HC0948",10000,"HC"
"HC0949",10000,"HC"
"HC0950",10000,"HC"
"HC0951",10000,"HC"
"HC0952",10000,"HC"
"HC0953",10000,"HC"
"HC0954",10000,"HC"
"HC0956",10000,"HC"
"HC0957",10000,"HC"
"HC0958",10000,"HC"
"HC0959",10000,"HC"
"HC0960",10000,"HC"
"HC0961",10000,"HC"
"HC0962",10000,"HC"
"HC0963",10000,"HC"
"HC0964",10000,"HC"
"HC0965",10000,"HC"
"HC0966",10000,"HC"
"HC0967",10000,"HC"
"HC0969",10000,"HC"
"HC0970",10000,"HC"
"HC0971",10000,"HC"
"HC0972",10000,"HC"
"HC0973",10000,"HC"
"HC0974",10000,"HC"
"HC0975",10000,"HC"
"HC0976",10000,"HC"
"HC0978",10000,"HC"
"HC0981",10000,"HC"
"HC0982",10000,"HC"
"HC0983",10000,"HC"
"HC0984",10000,"HC"
"HC0985",10000,"HC"
"HC0986",10000,"HC"
"HC0987",10000,"HC"
"HC0988",10000,"HC"
"HC0989",10000,"HC"
"HC0990",10000,"HC"
"HC0991",10000,"HC"
"HC0993",10000,"HC"
"HC0995",10000,"HC"
"HC0996",10000,"HC"
"HC0997",10000,"HC"
"HC0998",10000,"HC"
"HC0999",10000,"HC"
"HC100",10000,"HC"
"HC1000",10000,"HC"
"HC1001",10000,"HC"
"HC1002",10000,"HC"
"HC1003",10000,"HC"
"HC1004",10000,"HC"
"HC1005",10000,"HC"
"HC1006",10000,"HC"
"HC1007",10000,"HC"
"HC1008",10000,"HC"
"HC1009",10000,"HC"
"HC1010",10000,"HC"
"HC1011",10000,"HC"
"HC1012",10000,"HC"
"HC1013",10000,"HC"
"HC1015",10000,"HC"
"HC1016",10000,"HC"
"HC1017",10000,"HC"
"HC1018",10000,"HC"
"HC1019",10000,"HC"
"HC1020",10000,"HC"
"HC1021",10000,"HC"
"HC1022",10000,"HC"
"HC1024",10000,"HC"
"HC1025",10000,"HC"
"HC1027",10000,"HC"
"HC1028",10000,"HC"
"HC1029",10000,"HC"
"HC1030",10000,"HC"
"HC1031",10000,"HC"
"HC1032",10000,"HC"
"HC1033",10000,"HC"
"HC1034",10000,"HC"
"HC1035",10000,"HC"
"HC1036",10000,"HC"
"HC1037",10000,"HC"
"HC1038",10000,"HC"
"HC1039",10000,"HC"
"HC1040",10000,"HC"
"HC1041",10000,"HC"
"HC1042",10000,"HC"
"HC1043",10000,"HC"
"HC1044",10000,"HC"
"HC1045",10000,"HC"
"HC1046",10000,"HC"
"HC1047",10000,"HC"
"HC1048",10000,"HC"
"HC1049",10000,"HC"
"HC1050",10000,"HC"
"HC1051",10000,"HC"
"HC1052",10000,"HC"
"HC1053",10000,"HC"
"HC1054",10000,"HC"
"HC1055",10000,"HC"
"HC1056",10000,"HC"
"HC1057",10000,"HC"
"HC1058",10000,"HC"
"HC1059",10000,"HC"
"HC1060",10000,"HC"
"HC1061",10000,"HC"
"HC1062",10000,"HC"
"HC1063",10000,"HC"
"HC1064",10000,"HC"
"HC1065",10000,"HC"
"HC1066",10000,"HC"
"HC1067",10000,"HC"
"HC1068",10000,"HC"
"HC1069",10000,"HC"
"HC1070",10000,"HC"
"HC1071",10000,"HC"
"HC1072",10000,"HC"
"HC1073",10000,"HC"
"HC1074",10000,"HC"
"HC1075",10000,"HC"
"HC1076",10000,"HC"
"HC1077",10000,"HC"
"HC1078",10000,"HC"
"HC1079",10000,"HC"
"HC1080",10000,"HC"
"HC1081",10000,"HC"
"HC1082",10000,"HC"
"HC1083",10000,"HC"
"HC1084",10000,"HC"
"HC1085",10000,"HC"
"HC1086",10000,"HC"
"HC1087",10000,"HC"
"HC1088",10000,"HC"
"HC1089",10000,"HC"
"HC1090",10000,"HC"
"HC1093",10000,"HC"
"HC1094",10000,"HC"
"HC1095",10000,"HC"
"HC1096",10000,"HC"
"HC1097",10000,"HC"
"HC1099",10000,"HC"
"HC1100",10000,"HC"
"HC1101",10000,"HC"
"HC1103",10000,"HC"
"HC1104",10000,"HC"
"HC1105",10000,"HC"
"HC1106",10000,"HC"
"HC1107",10000,"HC"
"HC1108",10000,"HC"
"HC1109",10000,"HC"
"HC1110",10000,"HC"
"HC1112",10000,"HC"
"HC1113",10000,"HC"
"HC1114",10000,"HC"
"HC1115",10000,"HC"
"HC1116",10000,"HC"
"HC1117",10000,"HC"
"HC1118",10000,"HC"
"HC1119",10000,"HC"
"HC1120",10000,"HC"
"HC1121",10000,"HC"
"HC1122",10000,"HC"
"HC1123",10000,"HC"
"HC1124",10000,"HC"
"HC1125",10000,"HC"
"HC1126",10000,"HC"
"HC1127",10000,"HC"
"HC1128",10000,"HC"
"HC1129",10000,"HC"
"HC1130",10000,"HC"
"HC1131",10000,"HC"
"HC1132",10000,"HC"
"HC1133",10000,"HC"
"HC1134",10000,"HC"
"HC1135",10000,"HC"
"HC1136",10000,"HC"
"HC1137",10000,"HC"
"HC1138",10000,"HC"
"HC1139",10000,"HC"
"HC1140",10000,"HC"
"HC1141",10000,"HC"
"HC1142",10000,"HC"
"HC1144",10000,"HC"
"HC1145",10000,"HC"
"HC1146",10000,"HC"
"HC1147",10000,"HC"
"HC1148",10000,"HC"
"HC1149",10000,"HC"
"HC1150",10000,"HC"
"HC1151",10000,"HC"
"HC1152",10000,"HC"
"HC1153",10000,"HC"
"HC1154",10000,"HC"
"HC1155",10000,"HC"
"HC1156",10000,"HC"
"HC1157",10000,"HC"
"HC1159",10000,"HC"
"HC1160",10000,"HC"
"HC1161",10000,"HC"
"HC1162",10000,"HC"
"HC1163",10000,"HC"
"HC1164",10000,"HC"
"HC1165",10000,"HC"
"HC1166",10000,"HC"
"HC1167",10000,"HC"
"HC1168",10000,"HC"
"HC1169",10000,"HC"
"HC1170",10000,"HC"
"HC1171",10000,"HC"
"HC1172",10000,"HC"
"HC1173",10000,"HC"
"HC1174",10000,"HC"
"HC1175",10000,"HC"
"HC1176",10000,"HC"
"HC1177",10000,"HC"
"HC1178",10000,"HC"
"HC1179",10000,"HC"
"HC1180",10000,"HC"
"HC1182",10000,"HC"
"HC1183",10000,"HC"
"HC1185",10000,"HC"
"HC1186",10000,"HC"
"HC1187",10000,"HC"
"HC1188",10000,"HC"
"HC1189",10000,"HC"
"HC1190",10000,"HC"
"HC1191",10000,"HC"
"HC1193",10000,"HC"
"HC1194",10000,"HC"
"HC1195",10000,"HC"
"HC1196",10000,"HC"
"HC1197",10000,"HC"
"HC1198",10000,"HC"
"HC1199",10000,"HC"
"HC1200",10000,"HC"
"HC1201",10000,"HC"
"HC1202",10000,"HC"
"HC1203",10000,"HC"
"HC1204",10000,"HC"
"HC1205",10000,"HC"
"HC1206",10000,"HC"
"HC1207",10000,"HC"
"HC1209",10000,"HC"
"HC1210",10000,"HC"
"HC1211",10000,"HC"
"HC1212",10000,"HC"
"HC1213",10000,"HC"
"HC1214",10000,"HC"
"HC1215",10000,"HC"
"HC1216",10000,"HC"
"HC1217",10000,"HC"
"HC1218",10000,"HC"
"HC1219",10000,"HC"
"HC1220",10000,"HC"
"HC1221",10000,"HC"
"HC1224",10000,"HC"
"HC1225",10000,"HC"
"HC1226",10000,"HC"
"HC1227",10000,"HC"
"HC1228",10000,"HC"
"HC1229",10000,"HC"
"HC1230",10000,"HC"
"HC1231",10000,"HC"
"HC1232",10000,"HC"
"HC1233",10000,"HC"
"HC1234",10000,"HC"
"HC1235",10000,"HC"
"HC1236",10000,"HC"
"HC1237",10000,"HC"
"HC1238",10000,"HC"
"HC1239",10000,"HC"
"HC1240",10000,"HC"
"HC1241",10000,"HC"
"HC1242",10000,"HC"
"HC1243",10000,"HC"
"HC1244",10000,"HC"
"HC1245",10000,"HC"
"HC1246",10000,"HC"
"HC1247",10000,"HC"
"HC1249",10000,"HC"
"HC1250",10000,"HC"
"HC1251",10000,"HC"
"HC1252",10000,"HC"
"HC1253",10000,"HC"
"HC1254",10000,"HC"
