"Genus","Base mean","Log2 fold change","Standard error","Wald statistic","Raw P value","Adjusted P value (FDR)","Direction","Mean abundance (HC)","Mean abundance (RA)","Prevalence (%) HC","Prevalence (%) RA"
"Staphylococcus",1.83369661221169,-4.44470799628981,2.92564354384276,-1.51922403727003,0.128706112823499,0.652598393694161,"Higher in HC",3.63157894736842,0,15.7894736842105,0
"Jeotgalicoccus",1.00240898924362,-3.57695628423287,2.9316311109364,-1.22012495736216,0.222417508880208,0.652598393694161,"Higher in HC",2,0,10.5263157894737,0
"Ralstonia",1.48750065396443,-4.14381396722032,2.92733050323431,-1.41556068323749,0.156904169494255,0.652598393694161,"Higher in HC",2.94736842105263,0,15.7894736842105,0
"Acinetobacter",1.95205961063231,-4.5347677300494,2.92520288063459,-1.55024041582567,0.121083822628922,0.652598393694161,"Higher in HC",6.42105263157895,0,15.7894736842105,0
"Bacillus",1.11352555442245,-3.72778499551923,2.93031907463501,-1.27214303308712,0.203322303757546,0.652598393694161,"Higher in HC",2.21052631578947,0,15.7894736842105,0
"Citrobacter",1.99197171577648,-4.56382413532451,2.92506643891515,-1.56024631598356,0.118701684311357,0.652598393694161,"Higher in HC",3.94736842105263,0,15.7894736842105,0
"Yokenella",0.896892253533765,-3.41737059374791,2.93317498238258,-1.16507559701468,0.243988393790048,0.652598393694161,"Higher in HC",1.78947368421053,0,10.5263157894737,0
"Halanaerobium",0.903425387914241,-3.42763402713693,2.93307054216264,-1.16861629403895,0.242558260409288,0.652598393694161,"Higher in HC",1.78947368421053,0,15.7894736842105,0
"Clostridium_sensu_stricto_1",88.4013865897165,2.50532375507636,2.20846352590395,1.13441934887781,0.256618686627095,0.659540409219396,"Higher in RA",106,490.2,26.3157894736842,30
"Shuttleworthia",1.03622019698931,3.05146160276527,2.93345778013397,1.04022686927027,0.298234510992484,0.659540409219396,"Higher in RA",8.8421052631579,7.15,10.5263157894737,10
"GCA-900066575",0.79985464206896,-3.24599245029291,2.93503159492628,-1.10594804359319,0.268749008332012,0.659540409219396,"Higher in HC",2.57894736842105,4.4,10.5263157894737,5
"Sutterella",1.20333447867498,3.25844232578704,2.93208444640304,1.11130575716684,0.266436762136279,0.659540409219396,"Higher in RA",0,1.45,0,10
"Barnesiella",1.01241802227894,3.02615573734774,2.93363935361479,1.03153638623608,0.302289354225556,0.659540409219396,"Higher in RA",22.2631578947368,25.55,5.26315789473684,10
"Coprobacter",1.10713161918496,3.15786345150006,2.93272763143804,1.07676669924906,0.281584505925849,0.659540409219396,"Higher in RA",1.63157894736842,30.05,5.26315789473684,20
"Faecalibaculum",0.698050083179672,-3.05664284056067,2.9372078851603,-1.04066275186166,0.298032096230924,0.659540409219396,"Higher in HC",35,0,21.0526315789474,0
"Peptococcus",0.79137551782391,-3.23790148128633,2.93512473231226,-1.10315634822631,0.269959274140264,0.659540409219396,"Higher in HC",1.57894736842105,0,10.5263157894737,0
